step    70 | total loss: 9.367016 | lr: 7.1000e-03 | norm: 6.7751 | mlm loss: 8.589949 | nsp loss: 0.777067 | dt: 0.40ms | tok/sec: 20240.28 tokens/sec | remaining: 1h:6m
step    71 | total loss: 9.588421 | lr: 7.2000e-03 | norm: 9.7889 | mlm loss: 8.719513 | nsp loss: 0.868908 | dt: 0.40ms | tok/sec: 20306.50 tokens/sec | remaining: 1h:6m
step    72 | total loss: 9.792022 | lr: 7.3000e-03 | norm: 16.2595 | mlm loss: 8.578904 | nsp loss: 1.213117 | dt: 0.40ms | tok/sec: 20280.52 tokens/sec | remaining: 1h:6m
step    73 | total loss: 9.673223 | lr: 7.4000e-03 | norm: 13.8652 | mlm loss: 8.732518 | nsp loss: 0.940704 | dt: 0.40ms | tok/sec: 20230.44 tokens/sec | remaining: 1h:7m
step    74 | total loss: 9.702342 | lr: 7.5000e-03 | norm: 16.2553 | mlm loss: 8.596432 | nsp loss: 1.105911 | dt: 0.40ms | tok/sec: 20233.07 tokens/sec | remaining: 1h:6m
step    75 | total loss: 9.432485 | lr: 7.6000e-03 | norm: 12.3301 | mlm loss: 8.407982 | nsp loss: 1.024503 | dt: 0.40ms | tok/sec: 20272.34 tokens/sec | remaining: 1h:6m
step    76 | total loss: 9.276895 | lr: 7.7000e-03 | norm: 6.6243 | mlm loss: 8.509718 | nsp loss: 0.767177 | dt: 0.40ms | tok/sec: 20247.57 tokens/sec | remaining: 1h:6m
step    77 | total loss: 9.836291 | lr: 7.8000e-03 | norm: 12.4181 | mlm loss: 8.862038 | nsp loss: 0.974253 | dt: 0.40ms | tok/sec: 20250.66 tokens/sec | remaining: 1h:6m
step    78 | total loss: 9.729019 | lr: 7.9000e-03 | norm: 15.0148 | mlm loss: 8.555854 | nsp loss: 1.173166 | dt: 0.40ms | tok/sec: 20258.35 tokens/sec | remaining: 1h:6m
step    79 | total loss: 9.608590 | lr: 8.0000e-03 | norm: 13.8670 | mlm loss: 8.653290 | nsp loss: 0.955300 | dt: 0.41ms | tok/sec: 20219.95 tokens/sec | remaining: 1h:6m
step    80 | total loss: 9.414944 | lr: 8.1000e-03 | norm: 8.9401 | mlm loss: 8.576662 | nsp loss: 0.838282 | dt: 0.40ms | tok/sec: 20243.85 tokens/sec | remaining: 1h:6m
step    81 | total loss: 9.631217 | lr: 8.2000e-03 | norm: 15.6694 | mlm loss: 8.434253 | nsp loss: 1.196964 | dt: 0.41ms | tok/sec: 20213.33 tokens/sec | remaining: 1h:7m
step    82 | total loss: 9.258972 | lr: 8.3000e-03 | norm: 5.2821 | mlm loss: 8.530530 | nsp loss: 0.728443 | dt: 0.40ms | tok/sec: 20231.46 tokens/sec | remaining: 1h:6m
step    83 | total loss: 9.516252 | lr: 8.4000e-03 | norm: 10.2159 | mlm loss: 8.632207 | nsp loss: 0.884044 | dt: 0.40ms | tok/sec: 20269.63 tokens/sec | remaining: 1h:6m
step    84 | total loss: 9.560543 | lr: 8.5000e-03 | norm: 10.5339 | mlm loss: 8.629324 | nsp loss: 0.931219 | dt: 0.40ms | tok/sec: 20241.71 tokens/sec | remaining: 1h:6m
step    85 | total loss: 9.561626 | lr: 8.6000e-03 | norm: 12.3911 | mlm loss: 8.646511 | nsp loss: 0.915116 | dt: 0.41ms | tok/sec: 20184.33 tokens/sec | remaining: 1h:7m
step    86 | total loss: 9.282523 | lr: 8.7000e-03 | norm: 8.4319 | mlm loss: 8.466635 | nsp loss: 0.815889 | dt: 0.40ms | tok/sec: 20286.28 tokens/sec | remaining: 1h:6m
step    87 | total loss: 9.911676 | lr: 8.8000e-03 | norm: 16.3741 | mlm loss: 8.662311 | nsp loss: 1.249366 | dt: 0.41ms | tok/sec: 20227.03 tokens/sec | remaining: 1h:6m
step    88 | total loss: 9.478982 | lr: 8.9000e-03 | norm: 10.8034 | mlm loss: 8.605789 | nsp loss: 0.873193 | dt: 0.40ms | tok/sec: 20272.12 tokens/sec | remaining: 1h:6m
step    89 | total loss: 9.077938 | lr: 9.0000e-03 | norm: 5.3231 | mlm loss: 8.389594 | nsp loss: 0.688344 | dt: 0.40ms | tok/sec: 20227.70 tokens/sec | remaining: 1h:6m
step    90 | total loss: 9.982986 | lr: 9.1000e-03 | norm: 19.8595 | mlm loss: 8.520138 | nsp loss: 1.462848 | dt: 0.41ms | tok/sec: 20186.40 tokens/sec | remaining: 1h:7m
step    91 | total loss: 9.128468 | lr: 9.2000e-03 | norm: 4.6345 | mlm loss: 8.432002 | nsp loss: 0.696466 | dt: 0.40ms | tok/sec: 20232.81 tokens/sec | remaining: 1h:6m
